CLAVE,Year,agriculture,business_support,construction,entertainment,finance,hospitality,management,manufacturing,media,mining,other_services,professional_services,real_estate,retail,transport,wholesale,UE,micro_firms,small_firms,medium_firms,big_firms
32008,2019,0.0026595744680851063,0.015957446808510637,0,0.03723404255319149,0,0.15691489361702127,0,0.1196808510638298,0.0026595744680851063,0,0.14361702127659576,0.010638297872340425,0.005319148936170213,0.48936170212765956,0.0026595744680851063,0.013297872340425532,376,94.95,4.52,0.27,0.27
32009,2015,0.005847953216374269,0.017543859649122806,0.0029239766081871343,0.023391812865497075,0.011695906432748537,0.15497076023391812,0,0.07894736842105263,0.0029239766081871343,0.008771929824561403,0.17543859649122806,0.014619883040935672,0.02046783625730994,0.4590643274853801,0.008771929824561403,0.014619883040935672,342,96.78,2.34,0,0.88
32009,2019,0.006024096385542169,0.009036144578313253,0.006024096385542169,0.024096385542168676,0.012048192771084338,0.14759036144578314,0,0.06927710843373494,0.006024096385542169,0.012048192771084338,0.17771084337349397,0.012048192771084338,0.03313253012048193,0.45481927710843373,0.009036144578313253,0.02108433734939759,332,93.07,6.02,0,0.3
32010,2015,0.002919537545252832,0.020787107322200165,0.0036202265561135114,0.018451477285997896,0.0075907976176573634,0.10977461170150649,0,0.0852504963213827,0.005488730585075324,3.503445054303398e-4,0.18007707579119467,0.022538829849351863,0.017867569776947333,0.48078944295223636,0.008992175639378722,0.03550157655027444,8563,92.49,6.56,0.62,0.33
32010,2019,0.002544529262086514,0.010952538997676734,0.003982741453700631,0.018364863369841798,0.010952538997676734,0.1250138289633809,0,0.08817347051665007,0.0036508463325589115,9.956853634251576e-4,0.17977652395176458,0.02234760482354243,0.018807390198030755,0.4694103330014382,0.009293063391968137,0.035734041376258435,9039,91.05,7.72,0.82,0.22
32011,2015,0,0.0213903743315508,0,0.0427807486631016,0.0106951871657754,0.12299465240641712,0,0.10695187165775401,0.016042780748663103,0,0.1657754010695187,0,0.0053475935828877,0.4385026737967914,0.0213903743315508,0.0481283422459893,187,98.4,1.6,0,0
32011,2019,0,0.0111731843575419,0,0.0335195530726257,0.0111731843575419,0.1340782122905028,0,0.10614525139664804,0.0111731843575419,0,0.16759776536312848,0.00558659217877095,0.00558659217877095,0.46368715083798884,0.0111731843575419,0.03910614525139665,179,96.65,3.35,0,0
32012,2015,0,0,0,0.02247191011235955,0.011235955056179775,0.07865168539325842,0,0.1348314606741573,0.011235955056179775,0,0.0898876404494382,0,0.011235955056179775,0.6067415730337079,0.011235955056179775,0.02247191011235955,89,98.88,1.12,0,0
32012,2019,0,0.009708737864077669,0,0.02912621359223301,0.009708737864077669,0.0970873786407767,0,0.0970873786407767,0.009708737864077669,0,0.10679611650485436,0,0.019417475728155338,0.5825242718446602,0.009708737864077669,0.02912621359223301,103,99.03,0.97,0,0
32013,2015,0,0.017142857142857144,0,0.02857142857142857,0,0.13714285714285715,0,0.12,0.005714285714285714,0,0.16,0.011428571428571429,0.017142857142857144,0.5028571428571429,0,0,175,97.71,1.71,0.57,0
32013,2019,0,0.005780346820809248,0,0.028901734104046242,0.005780346820809248,0.1329479768786127,0,0.12138728323699421,0.005780346820809248,0,0.15606936416184972,0.005780346820809248,0.011560693641618497,0.5028901734104047,0.011560693641618497,0.011560693641618497,173,94.22,4.05,1.73,0
