CLAVE,agriculture,business_support,construction,entertainment,finance,hospitality,management,manufacturing,media,mining,other_services,professional_services,real_estate,retail,transport,wholesale,micro_firms,small_firms,medium_firms,big_firms
15084,0,0.027233317537318086,2.774694783573807e-4,0.020466101959121574,0.002588026412600232,0.08272409557420593,0,0.10485501440347181,0.005657337664766988,0,0.1331194895808652,0.01004034219157241,0.0066370543341356045,0.5758953067128908,0.0014610015089351407,0.029045442641758845,97.64,2.155,0.2,0
15085,4.4943820224719103e-4,0.02373162188041647,0,0.011281407948801862,0.005348532780626159,0.07047489182211555,0,0.32653200489679163,0.0029664375840878516,0,0.10198198853375029,0.007730627977164468,0.007191253651382375,0.417052107196102,0.0012584996909203302,0.024001187835593858,96.235,3.375,0.29000000000000004,0.075
15086,0.03040096406660824,0.03191279579316389,0,0.015063540753724802,0.019916739702015775,0.1757011393514461,0,0.0646034180543383,0.011492112182296232,0.0063869412795793164,0.11260955302366346,0.01021034180543383,0.01352979842243646,0.47191060473269064,0.0015337423312883436,0.034728308501314635,93.825,5.869999999999999,0.155,0.155
15087,0.0022653295213872,0.03392887402775106,6.132719222168713e-4,0.014417470241267907,0.006144950733792488,0.06918535811276882,0,0.13669419560311977,0.003554102297220733,0,0.12315114452129167,0.012177675116409171,0.015155200026284357,0.5644397994460644,4.255137547365859e-4,0.017847114675689058,97.13,2.675,0.08,0.1
15088,5.032228738817795e-4,0.01746750295140752,5.032228738817795e-4,0.015242425772889982,0.011375229641601273,0.13016152248435914,0,0.1294199773988472,0.0026352754752239594,0,0.1314448323537396,0.0214263978939261,0.01210392742378424,0.4883202229812057,0.004687592724701544,0.03470864715055019,94.495,5.125,0.325,0.05
15089,0.0022935779816513763,0.02539546650992819,0,0.013844522245789782,0.004833124632644195,0.12009340420638367,0,0.0865905548030973,0.0011467889908256881,0.002539546650992819,0.13500485548542077,0.011304975594796964,0.006471850962152769,0.5602527407937441,0.0011467889908256881,0.029081802151746695,96.76499999999999,2.865,0.255,0
15090,0.0029427890531300138,0.021922348042346173,4.5648302466732085e-4,0.016916247410476475,0.00543823304932945,0.12105013940592826,0,0.1307357102433503,0.0037989543257373978,2.2824151233366043e-4,0.12880427615353862,0.012526907680565724,0.01624471062236829,0.5061016702751255,0.005964704599616829,0.02686858460148596,96.305,3.0949999999999998,0.505,0.06
15091,0,0.025516596692265643,0.0014368481855831217,0.014909346153546582,0.00584033110347274,0.08595702683317946,0,0.09467092229310092,0.0025356066795750656,0,0.1491357722524338,0.013049918857153871,0.0071081344432602726,0.5732409731966559,0.001639688799066075,0.024958834510706594,96.78999999999999,2.87,0.27,0.05500000000000001
15092,1.5822784810126583e-4,0.024756468834874347,0.0011784359097549736,0.015147221759209326,0.008322221023835903,0.12783756091343185,0,0.12523740305327047,0.001284697369324143,0,0.15817441096588847,0.0163256576689643,0.008848870956671799,0.4850580699879399,0.002163223484885625,0.02550753022384767,94.88499999999999,4.52,0.4,0.175
15093,5.382131324004305e-4,0.028748249742254137,0,0.01024238052094487,0.002933900610921608,0.0948398283398326,0,0.14011505548281553,0.001857474346120747,0.0011978437392605888,0.1297150452581861,0.004791374957042355,0.012933446182947022,0.5415503378387974,0,0.03053684984847667,97.34,2.3649999999999998,0.175,0.065
15094,0.0016797312430011197,0.02140941852973249,0,0.021027828208037173,0.0018705264038487786,0.15206814616083444,0,0.0874832503863602,0.0018705264038487786,0,0.14412152771152947,0.0054207840506986776,0.009435554531458452,0.5228756059580926,0.0017751288234249493,0.028961971589132895,96.745,2.69,0.5,0.065
